id,count
0,94.41
1,222.88
2,67.53
4,31.48
5,65.91
10,126.62
11,188.65
12,312.49
15,37.22
17,122.04
18,306.32
23,241.13
25,100.09
26,37.79
31,208.57
39,159.2
40,25.61
41,185.64
42,362.86
43,157.58
51,225.63
52,85.53
54,17.1
60,136.59
61,140.17
62,115.93
63,30.1
65,118.1
66,110.55
68,151.07
71,70.48
80,30.85
82,71.17
94,131.64
98,278.19
101,35.34
102,130.21
107,108.87
112,237.59
113,65.08
115,60.16
116,122.81
120,166.61
121,80.25
122,338.08
132,173.41
143,85.41
147,68.12
150,18.69
151,86.87
152,237.31
153,91.42
155,153.71
156,81.57
159,189.96
161,139.99
163,47.96
177,172.16
186,16.49
188,20.97
190,95.48
191,79.28
192,254.68
195,308.68
200,130.95
209,320.03
210,15.78
211,233.17
214,120.12
215,26.76
218,101.44
219,32.85
222,123.77
225,15.2
228,323.08
236,211.71
241,37.71
242,187.08
243,230.42
245,19.05
247,248.86
251,128.25
252,85.78
253,84.55
254,92.06
258,326.09
260,60.25
261,179.46
265,115.23
266,279.72
267,295.36
269,154.36
270,71.08
275,98.15
278,35.17
279,82.24
286,99.11
287,30.96
288,225.4
289,134.23
293,19.47
294,166.17
297,43.09
302,114.44
303,53.87
304,72.14
307,98.63
309,17.19
311,176.25
312,136.19
314,178.94
315,227.73
319,159.6
322,120.44
323,71.67
325,135.93
327,239.27
330,32.83
332,189.3
333,17.46
338,103.65
341,101.42
345,193.69
348,116.46
349,46.47
350,120.67
352,58.9
355,15.04
356,225.41
358,61.72
363,131.8
369,171.5
371,18.81
372,139.77
375,306.69
380,126.45
388,45.38
391,142.65
392,246.87
393,365.9
394,211.32
396,27.55
401,37.48
407,102.81
409,84.88
410,113.99
416,104.74
418,119.27
420,146.87
421,216.38
422,127.32
424,292.02
428,335.9
429,218.59
431,170.64
435,12.92
439,119.04
441,13.72
447,97.16
449,150.98
451,138.38
452,15.18
454,219.06
458,215.02
463,125.47
467,15.88
470,216.38
471,154.13
474,286.23
478,17.01
483,120.37
484,138.57
485,84.22
486,130.52
491,97.69
494,102.73
495,234.78
497,212.49
499,169.28
515,110.55
518,201.44
521,182.42
525,157.67
529,242.09
532,138.5
534,105.56
540,111.47
544,301.18
547,161.44
549,44.37
563,35.65
564,141.31
567,121.32
572,107.71
577,140.24
578,270.31
585,342.3
588,144.64
589,122.43
590,107.37
592,17.13
594,227.25
596,14.54
598,348.66
599,144.34
605,37.02
606,128.69
607,248.48
608,225.92
609,69.07
610,293.57
611,172.99
614,130.75
615,203.86
616,245.65
617,123.03
618,251.59
624,118.65
629,138.49
631,94.86
633,92.66
637,23.91
638,103.64
643,70.53
644,133.4
645,33.01
646,199.6
648,175.1
650,37.47
651,209.87
652,274.25
656,103.77
657,18.54
659,70.14
660,216.36
662,100.26
665,370.27
675,326.99
681,158.32
682,198.09
685,19.1
686,216.87
689,23.83
696,133.83
703,143.88
704,96.4
705,117.45
714,228.32
717,99.97
718,15.26
720,86.07
721,252.47
723,226.97
726,203.84
728,138.6
730,210.97
731,27.98
734,349.06
737,72.73
738,19.2
745,173.1
746,26.21
749,233.14
752,24.53
753,177.52
758,247.7
765,17.29
766,230.99
768,85.72
769,183.49
774,132.32
775,107.93
781,57.33
784,326.4
794,17.78
795,277.37
796,83.87
802,175.51
803,218.48
805,31.29
806,288.54
807,102.25
809,16.3
810,162.91
812,205.22
814,116.82
818,247.35
819,130.05
825,74.36
836,105.23
839,118.53
847,259.47
848,172.61
851,123.09
852,134.65
853,33.14
857,143.94
858,44.42
859,229.79
861,20.63
867,103.45
870,218.57
871,213.0
872,221.56
874,359.6
881,198.88
886,133.05
890,65.43
895,160.79
899,86.77
900,277.91
901,254.38
902,243.25
903,40.64
913,264.79
918,207.41
923,109.64
924,35.33
926,27.55
927,20.74
930,211.75
934,29.12
937,117.59
939,131.84
941,84.26
942,369.11
946,275.4
950,98.01
953,86.74
959,107.91
961,28.95
962,97.85
964,76.06
969,185.39
971,154.72
976,41.63
978,258.84
980,230.93
981,154.15
990,362.45
993,18.2
996,20.08
998,332.25
999,173.75
1006,124.77
1008,16.4
1013,31.2
1015,96.54
1016,118.82
1022,307.36
1026,215.75
1028,236.06
1031,63.57
1034,55.99
1037,207.41
1040,67.25
1042,19.47
1046,19.24
1048,98.38
1049,109.79
1050,70.93
1051,208.59
1052,239.32
1055,193.95
1060,155.98
1064,26.46
1066,71.43
1071,102.55
1073,15.38
1089,204.06
1091,96.3
1092,79.12
1093,238.18
1096,321.52
1097,225.41
1098,18.89
1099,39.31
1102,177.2
1107,96.84
1109,41.77
1111,128.61
1112,119.22
1114,311.45
1116,285.69
1117,120.17
1118,69.21
1122,137.73
1124,161.86
1127,116.33
1133,217.27
1134,36.29
1135,125.53
1139,303.56
1143,60.64
1150,118.76
1151,115.69
1153,275.14
1155,27.25
1162,28.19
1163,196.61
1166,21.82
1171,83.28
1172,15.85
1173,268.22
1174,65.54
1177,118.37
1178,151.53
1184,189.03
1185,115.92
1186,117.22
1187,157.3
1188,286.13
1191,136.67
1207,123.02
1213,45.7
1215,127.83
1223,181.13
1227,120.9
1236,59.09
1237,63.62
1238,20.17
1241,30.04
1248,17.56
1250,38.71
1251,158.39
1253,115.14
1255,97.8
1257,192.38
1261,116.36
1262,341.42
1265,135.42
1273,178.48
1277,255.14
1278,116.04
1280,112.18
1284,225.38
1285,339.33
1288,33.49
1295,122.28
1297,358.98
1299,263.17
1304,150.76
1308,42.02
1310,93.37
1311,111.54
1314,88.02
1315,110.99
1318,29.5
1320,335.94
1321,289.45
1322,242.25
1330,115.96
1333,163.21
1334,226.44
1341,139.92
1344,137.95
1351,230.04
1354,99.74
1356,61.08
1363,126.16
1365,196.31
1369,126.27
1373,113.58
1375,113.38
1377,86.09
1379,128.71
1380,275.58
1381,98.14
1384,172.08
1390,209.77
1393,238.93
1395,59.62
1399,331.59
1400,85.31
1401,163.89
1404,167.36
1408,14.95
1409,30.04
1413,217.75
1416,277.82
1418,101.23
1423,103.27
1424,27.29
1425,15.69
1433,250.59
1434,140.63
1436,330.51
1442,240.98
1444,82.12
1445,110.94
1452,217.24
1455,166.25
1462,71.4
1467,77.74
1472,44.77
1475,174.04
1493,108.89
1501,226.23
1503,300.04
1504,212.51
1505,14.43
1511,220.56
1512,61.28
1513,95.26
1514,36.55
1528,239.88
1533,244.37
1534,28.79
1536,153.05
1537,78.83
1539,221.46
1550,212.84
1552,209.57
1554,197.7
1555,357.2
1556,96.47
1559,35.43
1563,242.05
1566,147.78
1567,150.58
1568,28.72
1571,228.04
1572,18.97
1574,56.52
1577,17.78
1583,59.99
1585,31.41
1586,178.66
1587,178.11
1596,148.42
1602,36.84
1604,78.42
1605,34.41
1610,312.46
1611,94.15
1616,34.26
1617,100.17
1618,16.44
1622,46.53
1623,30.56
1628,311.93
1631,16.54
1632,198.44
1633,237.51
1634,316.97
1636,206.62
1637,103.61
1643,111.61
1644,105.49
1646,90.46
1648,206.71
1651,30.7
1656,19.24
1658,142.07
1659,18.54
1665,189.49
1666,140.78
1670,41.41
1674,158.49
1679,209.02
1680,218.21
1683,337.42
1686,28.65
1691,97.36
1693,36.88
1696,40.03
1697,97.29
1703,93.18
1706,26.63
1709,183.2
1710,85.72
1712,226.95
1713,128.38
1718,345.98
1719,167.08
1722,282.79
1723,140.02
1724,290.95
1728,57.9
1730,32.53
1732,29.49
1737,37.53
1745,89.86
1747,14.55
1748,15.77
1755,99.91
1759,17.46
1761,269.91
1764,218.73
1765,155.25
1766,89.57
1768,105.64
1770,30.9
1771,137.87
1774,95.34
1785,134.69
1788,192.61
1792,15.4
1794,224.82
1797,119.67
1798,13.77
1799,285.45
1802,102.34
1806,32.76
1808,77.9
1810,244.65
1818,119.86
1819,381.8
1820,292.29
1822,226.17
1826,223.12
1827,204.63
1835,19.94
1841,115.1
1842,141.13
1843,18.71
1846,46.67
1849,103.07
1850,191.58
1851,189.83
1857,59.77
1858,181.25
1860,94.52
1861,246.23
1864,111.79
1869,322.56
1871,71.16
1872,32.27
1875,16.5
1878,229.4
1879,230.18
1885,90.98
1888,108.95
1889,30.3
1890,94.78
1896,133.66
1897,170.87
1898,111.08
1900,105.0
1905,40.68
1908,116.72
1909,101.25
1913,76.38
1918,110.72
1922,330.45
1923,131.08
1925,271.16
1926,123.21
1927,307.26
1930,195.18
1935,60.12
1939,122.59
1942,94.18
1943,103.12
1948,254.23
1949,263.23
1951,109.14
1953,121.7
1959,123.36
1963,18.24
1967,132.17
1973,257.77
1975,26.79
1976,88.03
1990,120.1
1993,116.89
1997,191.96
1999,124.71
2001,301.76
2004,87.31
2010,102.1
2013,136.36
2017,308.99
2021,105.44
2023,159.95
2026,134.11
2037,33.97
2039,212.16
2041,17.87
2046,32.96
2050,17.85
2060,233.32
2067,100.85
2069,150.65
2072,253.36
2074,138.55
2079,123.52
2083,28.25
2085,208.26
2087,16.25
2093,139.65
2094,31.36
2097,39.16
2103,94.82
2104,59.3
2107,180.42
2108,20.93
2110,100.44
2115,200.33
2117,32.02
2125,323.18
2127,273.46
2133,15.97
2134,382.61
2135,114.8
2141,265.28
2143,32.35
2145,85.15
2146,29.23
2147,275.84
2148,63.05
2149,77.3
2165,119.27
2166,158.12
2177,213.74
