,id,count
0,0,100.4
1,1,225.87
2,2,88.21
3,4,38.51
4,5,51.47
5,10,128.6
6,11,175.8
7,12,309.27
8,15,40.26
9,17,123.19
10,18,304.65
11,23,250.22
12,25,103.07
13,26,41.26
14,31,215.52
15,39,155.18
16,40,26.02
17,41,196.53
18,42,343.77
19,43,152.51
20,51,229.53
21,52,84.75
22,54,26.0
23,60,140.47
24,61,139.12
25,62,113.2
26,63,26.24
27,65,121.03
28,66,113.86
29,68,160.8
30,71,77.86
31,80,35.36
32,82,64.83
33,94,128.8
34,98,273.25
35,101,36.73
36,102,132.91
37,107,164.85
38,112,210.99
39,113,80.73
40,115,58.15
41,116,121.35
42,120,175.81
43,121,91.01
44,122,328.26
45,132,197.02
46,143,88.47
47,147,63.68
48,150,19.08
49,151,87.52
50,152,250.45
51,153,94.7
52,155,151.9
53,156,122.94
54,159,202.84
55,161,155.15
56,163,49.41
57,177,176.86
58,186,25.28
59,188,18.83
60,190,96.29
61,191,85.89
62,192,259.46
63,195,306.83
64,200,153.22
65,209,311.14
66,210,25.56
67,211,216.05
68,214,150.84
69,215,32.33
70,218,101.85
71,219,31.57
72,222,158.29
73,225,15.41
74,228,323.99
75,236,230.02
76,241,35.34
77,242,189.19
78,243,242.36
79,245,27.2
80,247,257.59
81,251,135.29
82,252,91.61
83,253,84.17
84,254,92.69
85,258,316.45
86,260,57.55
87,261,160.49
88,265,97.58
89,266,274.3
90,267,293.01
91,269,159.9
92,270,66.09
93,275,102.9
94,278,42.66
95,279,84.01
96,286,98.97
97,287,28.74
98,288,219.74
99,289,146.62
100,293,19.17
101,294,167.5
102,297,42.2
103,302,117.59
104,303,73.12
105,304,54.36
106,307,102.21
107,309,25.86
108,311,168.97
109,312,141.58
110,314,188.07
111,315,252.24
112,319,177.96
113,322,116.58
114,323,64.62
115,325,121.64
116,327,240.89
117,330,42.81
118,332,215.42
119,333,19.42
120,338,104.34
121,341,108.73
122,345,200.0
123,348,112.33
124,349,49.27
125,350,121.03
126,352,57.66
127,355,16.87
128,356,220.42
129,358,59.02
130,363,128.76
131,369,148.29
132,371,19.67
133,372,135.63
134,375,297.21
135,380,126.87
136,388,44.33
137,391,146.12
138,392,251.42
139,393,357.91
140,394,175.73
141,396,34.23
142,401,33.07
143,407,88.56
144,409,97.62
145,410,116.49
146,416,81.18
