,id,count
0,0,90.72
1,1,240.62
2,2,96.18
3,4,32.57
4,5,47.58
5,10,119.51
6,11,143.2
7,12,305.24
8,15,30.85
9,17,110.87
10,18,291.61
11,23,238.81
12,25,117.94
13,26,39.05
14,31,236.72
15,39,155.71
16,40,25.39
17,41,212.54
18,42,308.76
19,43,157.11
20,51,216.31
21,52,74.13
22,54,18.17
23,60,133.88
24,61,143.87
25,62,109.34
26,63,24.23
27,65,114.19
28,66,107.94
29,68,149.11
30,71,87.76
31,80,25.66
32,82,59.98
33,94,132.32
34,98,257.5
35,101,29.99
36,102,134.28
37,107,157.28
38,112,219.73
39,113,72.77
40,115,58.88
41,116,116.98
42,120,161.33
43,121,77.85
44,122,301.6
45,132,196.82
46,143,74.42
47,147,59.49
48,150,18.27
49,151,87.97
50,152,245.56
51,153,87.97
52,155,167.49
53,156,104.8
54,159,190.39
55,161,153.62
56,163,40.02
57,177,173.45
58,186,18.24
59,188,17.55
60,190,92.41
61,191,85.83
62,192,263.39
63,195,287.83
64,200,158.85
65,209,294.94
66,210,18.0
67,211,217.66
68,214,153.6
69,215,25.47
70,218,103.44
71,219,38.59
72,222,152.73
73,225,18.14
74,228,299.53
75,236,219.96
76,241,31.54
77,242,171.22
78,243,227.0
79,245,18.21
80,247,273.83
81,251,137.64
82,252,87.88
83,253,87.75
84,254,87.05
85,258,285.37
86,260,59.26
87,261,164.08
88,265,89.13
89,266,280.55
90,267,281.11
91,269,171.7
92,270,59.98
93,275,101.97
94,278,40.23
95,279,87.75
96,286,93.19
97,287,25.08
98,288,209.67
99,289,158.96
100,293,18.36
101,294,170.24
102,297,45.56
103,302,108.05
104,303,61.77
105,304,46.55
106,307,101.37
107,309,18.11
108,311,176.86
109,312,148.16
110,314,197.31
111,315,230.7
112,319,173.56
113,322,110.48
114,323,59.73
115,325,129.16
116,327,268.86
117,330,39.05
118,332,206.64
119,333,18.36
120,338,104.0
121,341,100.21
122,345,223.56
123,348,101.02
124,349,40.21
125,350,116.7
126,352,59.38
127,355,15.89
128,356,203.64
129,358,60.96
130,363,127.22
131,369,168.71
132,371,18.27
133,372,148.88
134,375,292.08
135,380,127.27
136,388,39.96
137,391,140.14
138,392,265.2
139,393,310.69
140,394,183.89
141,396,25.43
142,401,31.86
143,407,88.84
144,409,87.97
145,410,112.68
146,416,87.19
147,418,119.29
148,420,152.5
149,421,205.76
150,422,126.45
151,424,290.26
152,428,295.38
153,429,234.65
154,431,166.85
155,435,16.49
156,439,116.81
157,441,17.9
158,447,87.97
159,449,143.27
160,451,146.05
161,452,18.17
162,454,205.22
163,458,237.27
164,463,132.71
165,467,18.0
166,470,246.51
167,471,159.51
168,474,283.45
169,478,18.17
170,483,110.86
171,484,131.5
172,485,87.76
173,486,129.32
174,491,100.4
175,494,104.28
176,495,252.86
177,497,206.23
178,499,171.93
179,515,116.81
180,518,205.59
181,521,163.75
182,525,153.87
183,529,243.79
184,532,140.29
185,534,89.13
186,540,89.13
187,544,293.5
188,547,170.77
189,549,39.96
190,563,39.16
191,564,159.22
192,567,110.07
193,572,117.58
194,577,132.29
195,578,252.49
196,585,301.36
197,588,141.71
198,589,121.05
199,590,104.64
200,592,18.14
201,594,244.66
202,596,18.14
203,598,306.9
204,599,135.4
205,605,32.25
206,606,125.1
207,607,261.13
208,608,220.4
209,609,59.73
210,610,284.59
211,611,178.79
212,614,133.99
213,615,210.86
214,616,265.55
215,617,124.89
216,618,238.61
217,624,109.66
218,629,137.9
219,631,87.97
220,633,84.6
221,637,25.46
222,638,106.13
223,643,60.11
224,644,156.64
225,645,40.1
226,646,195.26
227,648,191.23
228,650,32.62
229,651,182.38
230,652,279.58
231,656,127.92
232,657,18.14
233,659,68.88
234,660,205.92
235,662,103.24
236,665,313.83
237,675,295.41
238,681,163.14
239,682,212.6
240,685,16.81
241,686,199.61
242,689,25.33
243,696,143.24
244,703,152.56
245,704,100.29
246,705,150.94
247,714,219.56
248,717,90.53
249,718,18.14
250,720,86.6
251,721,252.88
252,723,217.6
253,726,180.54
254,728,128.95
255,730,179.49
256,731,25.36
257,734,313.84
258,737,86.85
259,738,18.44
260,745,172.73
261,746,25.27
262,749,213.98
263,752,25.39
264,753,176.19
265,758,220.29
266,765,18.3
267,766,240.07
268,768,87.97
269,769,191.32
270,774,128.58
271,775,105.74
272,781,59.15
273,784,292.33
274,794,18.36
275,795,283.47
276,796,87.76
277,802,182.91
278,803,189.22
279,805,40.37
280,806,287.14
281,807,105.24
282,809,18.14
283,810,168.78
284,812,178.46
285,814,104.65
286,818,254.77
287,819,163.51
288,825,67.3
289,836,101.12
290,839,121.77
291,847,275.21
292,848,171.69
293,851,125.52
294,852,138.41
295,853,30.47
296,857,157.28
297,858,39.22
298,859,239.68
299,861,29.85
300,867,107.95
301,870,230.54
302,871,239.24
303,872,203.05
304,874,312.74
305,881,212.63
306,886,138.81
307,890,61.18
308,895,159.8
309,899,87.97
310,900,282.49
311,901,258.36
312,902,222.99
313,903,33.01
314,913,259.57
315,918,196.42
316,923,156.13
317,924,40.41
318,926,25.48
319,927,18.04
320,930,236.12
321,934,39.38
322,937,148.19
323,939,108.45
324,941,89.8
325,942,313.28
326,946,273.79
327,950,101.09
328,953,86.65
329,959,87.92
330,961,25.33
331,962,89.5
332,964,98.81
333,969,185.79
334,971,133.28
335,976,32.96
336,978,224.89
337,980,259.68
338,981,134.09
339,990,306.42
340,993,18.2
341,996,18.36
342,998,293.88
343,999,191.24
344,1006,115.82
345,1008,18.0
346,1013,31.16
347,1015,99.08
348,1016,120.22
349,1022,283.7
350,1026,242.46
351,1028,235.45
352,1031,55.33
353,1034,58.85
354,1037,188.02
355,1040,61.33
356,1042,18.36
357,1046,18.36
358,1048,104.46
359,1049,108.9
