id,count
0,101.16
1,208.21
2,81.53
4,33.48
5,72.94
10,123.0
11,196.96
12,324.99
15,35.05
17,121.05
18,305.59
23,252.22
25,83.36
26,39.51
31,210.2
39,159.6
40,26.97
41,180.06
42,365.21
43,152.1
51,222.67
52,85.38
54,16.21
60,141.09
61,137.74
62,115.25
63,31.23
65,118.38
66,110.85
68,154.41
71,72.45
80,30.03
82,61.04
94,128.26
98,275.91
101,34.59
102,131.45
107,103.96
112,233.07
113,77.93
115,55.89
116,122.64
120,166.41
121,82.51
122,336.53
132,190.3
143,85.4
147,60.87
150,16.8
151,85.49
152,229.74
153,93.12
155,180.02
156,83.78
159,186.96
161,142.58
163,46.24
177,170.56
186,13.7
188,19.43
190,87.48
191,80.98
192,260.68
195,311.39
200,144.62
209,319.59
210,15.68
211,231.09
214,113.65
215,27.0
218,100.94
219,33.31
222,131.43
225,15.06
228,322.99
236,227.76
241,34.52
242,176.23
243,234.64
245,18.11
247,248.45
251,132.82
252,87.46
253,85.23
254,86.47
258,332.7
260,49.02
261,163.5
265,118.29
266,290.63
267,300.81
269,157.8
270,64.71
275,100.76
278,34.98
279,81.78
286,95.61
287,27.93
288,225.53
289,137.46
293,18.31
294,149.05
297,37.77
302,117.16
303,62.92
304,74.59
307,101.51
309,16.94
311,167.92
312,117.49
314,172.87
315,237.4
319,160.28
322,119.13
323,62.17
325,126.2
327,248.96
330,34.02
332,195.6
333,17.22
338,101.92
341,109.61
345,187.59
348,120.9
349,46.4
350,117.04
352,58.26
355,14.6
356,230.54
358,60.14
363,131.19
369,153.54
371,17.11
372,141.06
375,308.45
380,126.95
388,46.06
391,143.05
392,260.6
393,378.72
394,203.92
396,27.76
401,39.23
407,108.91
409,88.59
410,112.24
416,103.9
418,123.69
420,154.03
421,230.0
422,131.19
424,292.48
428,340.6
429,227.8
431,153.88
435,10.29
439,113.5
441,10.76
447,95.47
449,148.01
451,141.1
452,15.86
454,213.18
458,226.53
463,120.48
467,14.59
470,231.75
471,156.67
474,295.74
478,16.94
483,118.67
484,132.43
485,86.99
486,124.8
491,97.98
494,100.25
495,245.73
497,205.19
499,157.78
515,107.76
518,210.87
521,179.57
525,157.45
529,240.03
532,143.17
534,110.75
540,115.84
544,304.73
547,160.28
549,45.68
563,35.02
564,142.5
567,118.93
572,105.19
577,133.45
578,271.55
585,346.52
588,139.91
589,122.85
590,108.18
592,17.09
594,215.93
596,13.88
598,343.43
599,145.03
605,39.51
606,132.58
607,251.27
608,222.03
609,63.07
610,282.67
611,186.44
614,130.48
615,215.22
616,257.5
