,id,count
0,0,86.19
1,1,231.67
2,2,95.37
3,4,30.93
4,5,49.02
5,10,117.16
6,11,146.57
7,12,309.08
8,15,29.47
9,17,120.02
10,18,287.11
11,23,239.75
12,25,108.47
13,26,39.1
14,31,239.75
15,39,158.93
16,40,25.24
17,41,213.96
18,42,311.07
19,43,161.68
20,51,209.6
21,52,71.55
22,54,18.5
23,60,135.77
24,61,144.5
25,62,107.03
26,63,24.25
27,65,113.34
28,66,105.88
29,68,148.53
30,71,87.36
31,80,25.38
32,82,61.14
33,94,132.29
34,98,253.63
35,101,28.77
36,102,134.42
37,107,159.5
38,112,210.89
39,113,66.48
40,115,58.81
41,116,114.03
42,120,162.48
43,121,79.39
44,122,299.31
45,132,198.67
46,143,67.41
47,147,60.77
48,150,18.36
49,151,87.84
50,152,239.45
51,153,87.84
52,155,154.5
53,156,104.06
54,159,192.17
55,161,161.88
56,163,40.41
57,177,172.49
58,186,18.49
59,188,17.76
60,190,87.97
61,191,86.13
62,192,268.18
63,195,288.57
64,200,156.53
65,209,294.66
66,210,18.28
67,211,209.71
68,214,140.23
69,215,25.38
70,218,99.56
71,219,37.82
72,222,156.16
73,225,18.19
74,228,299.78
75,236,210.06
76,241,30.92
77,242,174.09
78,243,223.43
79,245,18.6
80,247,275.1
81,251,135.07
82,252,87.78
83,253,86.93
84,254,86.19
85,258,288.22
86,260,60.58
87,261,167.49
88,265,89.05
89,266,285.18
90,267,279.62
91,269,170.38
92,270,61.43
93,275,100.06
94,278,39.7
95,279,87.51
96,286,89.14
97,287,25.11
98,288,215.98
99,289,156.59
100,293,18.61
101,294,162.68
102,297,44.7
103,302,106.71
104,303,55.7
105,304,54.58
106,307,99.6
107,309,18.47
108,311,174.9
109,312,153.65
110,314,191.89
111,315,226.23
112,319,170.37
113,322,109.13
114,323,61.29
115,325,126.18
116,327,275.24
117,330,39.09
118,332,204.3
119,333,18.61
120,338,100.83
121,341,100.83
122,345,224.14
123,348,104.73
124,349,40.41
125,350,113.39
126,352,60.47
127,355,16.08
128,356,197.12
129,358,62.2
130,363,129.24
131,369,160.05
132,371,18.36
133,372,138.96
134,375,293.49
135,380,129.47
136,388,40.41
137,391,140.13
138,392,271.19
139,393,314.61
140,394,177.8
141,396,25.41
142,401,30.11
143,407,89.18
144,409,87.84
145,410,109.56
146,416,91.33
147,418,117.03
148,420,155.41
149,421,200.16
150,422,129.46
151,424,288.58
152,428,297.66
153,429,227.24
154,431,162.49
155,435,17.05
156,439,113.15
157,441,17.96
158,447,87.84
159,449,138.46
160,451,144.71
161,452,18.5
162,454,199.48
163,458,228.19
164,463,137.69
165,467,18.46
166,470,263.5
167,471,165.42
168,474,281.72
169,478,18.5
170,483,108.54
171,484,131.5
172,485,87.84
173,486,132.23
174,491,97.88
175,494,100.05
176,495,263.73
177,497,219.45
178,499,168.39
179,515,112.66
180,518,204.19
181,521,167.37
182,525,155.31
183,529,237.08
184,532,147.06
185,534,89.78
186,540,90.26
187,544,299.88
188,547,170.35
189,549,40.41
190,563,38.86
191,564,153.09
192,567,108.18
193,572,110.63
194,577,130.88
195,578,245.85
196,585,307.81
197,588,136.82
198,589,122.11
199,590,102.13
200,592,18.46
201,594,250.15
202,596,18.46
203,598,308.11
204,599,134.73
205,605,30.34
206,606,126.72
207,607,266.32
208,608,218.0
209,609,61.43
210,610,285.42
211,611,167.72
212,614,132.61
213,615,209.81
214,616,271.89
215,617,127.91
216,618,243.41
217,624,106.61
218,629,139.09
219,631,87.84
220,633,79.47
221,637,25.41
222,638,103.12
223,643,61.01
224,644,155.62
225,645,39.61
226,646,193.73
227,648,198.73
228,650,31.44
229,651,174.48
230,652,278.76
231,656,126.11
232,657,18.5
233,659,64.81
234,660,199.65
235,662,101.58
236,665,317.0
237,675,293.92
238,681,163.05
239,682,208.69
240,685,16.77
241,686,198.89
242,689,25.41
243,696,146.42
244,703,152.42
245,704,99.36
246,705,138.4
247,714,219.99
248,717,85.44
249,718,18.28
250,720,85.42
251,721,243.97
252,723,219.19
253,726,170.22
254,728,129.65
255,730,174.93
256,731,25.41
257,734,319.48
258,737,86.3
259,738,18.61
260,745,165.43
261,746,25.38
262,749,211.38
263,752,25.24
264,753,165.75
265,758,222.04
266,765,18.3
267,766,233.25
268,768,87.84
269,769,193.46
270,774,129.39
271,775,105.49
272,781,59.34
273,784,291.74
274,794,18.72
275,795,281.22
276,796,87.84
277,802,188.88
278,803,181.12
279,805,39.45
280,806,285.57
281,807,102.7
282,809,18.19
283,810,170.15
284,812,170.25
285,814,102.44
286,818,252.13
287,819,156.48
288,825,65.12
289,836,100.49
290,839,123.29
291,847,275.84
292,848,163.89
293,851,121.57
294,852,139.34
295,853,29.06
296,857,161.62
297,858,39.43
298,859,241.93
299,861,28.54
300,867,104.05
301,870,228.52
302,871,237.16
303,872,202.03
304,874,321.23
305,881,205.08
306,886,139.73
307,890,63.32
308,895,158.59
309,899,87.84
310,900,278.96
311,901,255.23
312,902,230.21
